R,G,B,Color
255,0,0,Red
0,255,0,Green
0,0,255,Blue
255,255,0,Yellow
255,165,0,Orange
128,0,128,Purple
255,192,203,Pink
165,42,42,Brown
0,0,0,Black
255,255,255,White
128,128,128,Gray
0,255,255,Cyan
255,0,255,Magenta
173,216,230,LightBlue
0,128,0,DarkGreen
128,0,0,Maroon
255,215,0,Gold
245,245,220,Beige
75,0,130,Indigo
240,230,140,Khaki
230,230,250,Lavender
50,205,50,LimeGreen
255,99,71,Tomato
70,130,180,SteelBlue
210,105,30,Chocolate
255,20,147,DeepPink
0,191,255,DeepSkyBlue
46,139,87,SeaGreen
139,69,19,SaddleBrown
112,128,144,SlateGray
255,0,0,Red
220,20,60,Crimson
178,34,34,FireBrick
139,0,0,DarkRed
255,99,71,Tomato
255,69,0,OrangeRed
255,140,0,DarkOrange
255,165,0,Orange
255,215,0,Gold
255,255,0,Yellow
240,230,140,Khaki
189,183,107,DarkKhaki
154,205,50,YellowGreen
124,252,0,LawnGreen
127,255,0,Chartreuse
0,255,0,Lime
50,205,50,LimeGreen
34,139,34,ForestGreen
0,128,0,Green
0,100,0,DarkGreen
46,139,87,SeaGreen
60,179,113,MediumSeaGreen
32,178,170,LightSeaGreen
0,255,255,Cyan
0,206,209,DarkTurquoise
72,209,204,MediumTurquoise
64,224,208,Turquoise
173,216,230,LightBlue
135,206,235,SkyBlue
0,191,255,DeepSkyBlue
30,144,255,DodgerBlue
100,149,237,CornflowerBlue
70,130,180,SteelBlue
65,105,225,RoyalBlue
0,0,255,Blue
0,0,139,DarkBlue
25,25,112,MidnightBlue
75,0,130,Indigo
138,43,226,BlueViolet
148,0,211,DarkViolet
186,85,211,MediumOrchid
128,0,128,Purple
255,0,255,Magenta
218,112,214,Orchid
255,20,147,DeepPink
255,105,180,HotPink
255,192,203,Pink
250,128,114,Salmon
233,150,122,DarkSalmon
210,105,30,Chocolate
160,82,45,Sienna
139,69,19,SaddleBrown
165,42,42,Brown
244,164,96,SandyBrown
245,222,179,Wheat
255,248,220,Cornsilk
255,250,240,FloralWhite
250,250,210,LightGoldenrodYellow
255,255,255,White
245,245,245,WhiteSmoke
220,220,220,Gainsboro
192,192,192,Silver
169,169,169,DarkGray
128,128,128,Gray
105,105,105,DimGray
0,0,0,Black
255,0,0,Red
254,0,0,Red
253,5,5,Red
250,10,10,Red
220,20,60,Crimson
178,34,34,FireBrick
139,0,0,DarkRed
255,69,0,OrangeRed
255,99,71,Tomato
255,127,80,Coral
255,140,0,DarkOrange
255,165,0,Orange
255,215,0,Gold
255,255,0,Yellow
250,250,210,LightGoldenrodYellow
240,230,140,Khaki
189,183,107,DarkKhaki
173,255,47,GreenYellow
154,205,50,YellowGreen
127,255,0,Chartreuse
124,252,0,LawnGreen
0,255,0,Lime
50,205,50,LimeGreen
34,139,34,ForestGreen
0,128,0,Green
0,100,0,DarkGreen
46,139,87,SeaGreen
60,179,113,MediumSeaGreen
32,178,170,LightSeaGreen
0,255,127,SpringGreen
0,250,154,MediumSpringGreen
0,255,255,Cyan
0,206,209,DarkTurquoise
64,224,208,Turquoise
72,209,204,MediumTurquoise
175,238,238,PaleTurquoise
173,216,230,LightBlue
135,206,235,SkyBlue
135,206,250,LightSkyBlue
0,191,255,DeepSkyBlue
30,144,255,DodgerBlue
